query,method,rank,note_id,title,score,is_relevant
как найти похожие идеи если я не помню точные слова,keyword,1,59,Базовый поиск по ключевым словам #29,0.1416127224177954,False
как найти похожие идеи если я не помню точные слова,keyword,2,51,Лексический поиск и совпадение терминов #21,0.14060359332567357,False
как найти похожие идеи если я не помню точные слова,keyword,3,30,Как находить идеи без точных слов #30,0.12630244276204405,True
как найти похожие идеи если я не помню точные слова,keyword,4,24,Как находить идеи без точных слов #24,0.12379754162806073,True
как найти похожие идеи если я не помню точные слова,keyword,5,6,Как находить идеи без точных слов #6,0.12362566909247225,True
как найти похожие идеи если я не помню точные слова,keyword,6,60,Лексический поиск и совпадение терминов #30,0.12194204357402683,False
как найти похожие идеи если я не помню точные слова,keyword,7,7,Эмбеддинги для поиска заметок #7,0.12166530743467723,True
как найти похожие идеи если я не помню точные слова,keyword,8,46,Лексический поиск и совпадение терминов #16,0.12132966355708849,False
как найти похожие идеи если я не помню точные слова,keyword,9,13,Поиск по смыслу в PKM-системе #13,0.11901188396721203,True
как найти похожие идеи если я не помню точные слова,keyword,10,9,Семантический поиск по личным заметкам #9,0.11359098833487807,True
как найти похожие идеи если я не помню точные слова,semantic,1,18,Как находить идеи без точных слов #18,0.6486977338790894,True
как найти похожие идеи если я не помню точные слова,semantic,2,30,Как находить идеи без точных слов #30,0.6007624864578247,True
как найти похожие идеи если я не помню точные слова,semantic,3,24,Как находить идеи без точных слов #24,0.5866067409515381,True
как найти похожие идеи если я не помню точные слова,semantic,4,6,Как находить идеи без точных слов #6,0.5532140731811523,True
как найти похожие идеи если я не помню точные слова,semantic,5,8,Как находить идеи без точных слов #8,0.5513488054275513,True
как найти похожие идеи если я не помню точные слова,semantic,6,4,Эмбеддинги для поиска заметок #4,0.53975909948349,True
как найти похожие идеи если я не помню точные слова,semantic,7,29,Эмбеддинги для поиска заметок #29,0.534720778465271,True
как найти похожие идеи если я не помню точные слова,semantic,8,5,Эмбеддинги для поиска заметок #5,0.5316915512084961,True
как найти похожие идеи если я не помню точные слова,semantic,9,22,Как находить идеи без точных слов #22,0.5136544704437256,True
как найти похожие идеи если я не помню точные слова,semantic,10,27,Семантический поиск по личным заметкам #27,0.5106257200241089,True
какой простой метод поиска был baseline для сравнения,keyword,1,49,TF-IDF как baseline для эксперимента #19,0.3491475603389514,True
какой простой метод поиска был baseline для сравнения,keyword,2,33,TF-IDF как baseline для эксперимента #3,0.3413256005013049,True
какой простой метод поиска был baseline для сравнения,keyword,3,52,Сравнение BM25 и TF-IDF #22,0.23510447544491284,True
какой простой метод поиска был baseline для сравнения,keyword,4,39,Сравнение BM25 и TF-IDF #9,0.23316617403548606,True
какой простой метод поиска был baseline для сравнения,keyword,5,48,Лексический поиск и совпадение терминов #18,0.22439332397276518,True
какой простой метод поиска был baseline для сравнения,keyword,6,55,Базовый поиск по ключевым словам #25,0.22351812269526566,True
