id,title,content,topic,source
1,Semantic retrieval for personal notes #1,"A personal note search system should retrieve related ideas even when the query uses different wording. The prototype uses embeddings, semantic search, and ranked retrieval to connect scattered notes. The note can be used as evidence in a search-quality experiment.",semantic_search,synthetic_pkm
2,Finding ideas without exact words #2,Semantic retrieval treats each note as a vector representation. It can surface concepts about embeddings and retrieval without relying on exact keyword overlap. It includes enough context to be useful for semantic retrieval tests.,semantic_search,synthetic_pkm
3,Semantic retrieval for personal notes #3,"A personal note search system should retrieve related ideas even when the query uses different wording. The prototype uses embeddings, retrieval, and ranked retrieval to connect scattered notes. The note can be used as evidence in a search-quality experiment.",semantic_search,synthetic_pkm
4,Semantic retrieval for personal notes #4,Semantic retrieval treats each note as a vector representation. It can surface concepts about retrieval and cosine similarity without relying on exact keyword overlap. It includes enough context to be useful for semantic retrieval tests.,semantic_search,synthetic_pkm
5,Finding ideas without exact words #5,"A personal note search system should retrieve related ideas even when the query uses different wording. The prototype uses vectors, semantic search, and ranked retrieval to connect scattered notes. The note can be used as evidence in a search-quality experiment.",semantic_search,synthetic_pkm
6,Embedding search in a PKM system #6,"A personal note search system should retrieve related ideas even when the query uses different wording. The prototype uses semantic search, retrieval, and ranked retrieval to connect scattered notes. The note can be used as evidence in a search-quality experiment.",semantic_search,synthetic_pkm
7,Meaning-based search workflow #7,"The main research value is visible when a vague question still finds a relevant note. This note discusses embeddings, retrieval, and why semantic matching is useful for PKM. It is written as a realistic working note rather than a polished article.",semantic_search,synthetic_pkm
8,Meaning-based search workflow #8,"A personal note search system should retrieve related ideas even when the query uses different wording. The prototype uses semantic search, retrieval, and ranked retrieval to connect scattered notes. It includes enough context to be useful for semantic retrieval tests.",semantic_search,synthetic_pkm
9,Semantic retrieval for personal notes #9,"Semantic retrieval treats each note as a vector representation. It can surface concepts about vectors and embeddings without relying on exact keyword overlap. This entry is intentionally short, like a personal knowledge base fragment.",semantic_search,synthetic_pkm
10,Meaning-based search workflow #10,Semantic retrieval treats each note as a vector representation. It can surface concepts about retrieval and cosine similarity without relying on exact keyword overlap. It is written as a realistic working note rather than a polished article.,semantic_search,synthetic_pkm
