query,relevant_topics,description
"I remember writing about finding related ideas even when I use different words","semantic_search","Vague semantic query: should retrieve notes about semantic retrieval and embeddings."
"what was my simple old-school search baseline for comparison","keyword_search","Paraphrase for lexical baseline notes without directly saying TF-IDF."
"how can the system organize my notes automatically","tagging","Should retrieve automatic tagging and categorization notes."
"where should information about notes and vectors be kept","databases","Paraphrase for database storage, schemas, and metadata."
"how do I prove one search approach works better than another","research_methods","Should retrieve evaluation methodology and metrics notes."
"how to review tasks and old thoughts every week","productivity","Should find productivity workflow and weekly review notes."
"how to keep the prototype code understandable and not too complex","software_architecture","Should retrieve architecture and module-boundary notes."
"make long notes easier to inspect in the search results","summarization","Should retrieve summarization and preview notes."
"semantic memory for scattered personal knowledge","semantic_search","Hard semantic query with weak lexical overlap."
"make the experiment repeatable with human judgments","research_methods","Should retrieve manual relevance label and reproducibility notes."
"connect forgotten research ideas across my note collection","semantic_search","Should favor meaning-based retrieval."
"avoid building a large backend for a small demo","software_architecture","Should retrieve simple prototype architecture notes."
"short previews before opening a full note","summarization","Should retrieve result preview and summary notes."
"save note fields so experiments can be repeated later","databases","Should retrieve storage and metadata notes."
"labels that appear without me typing them manually","tagging","Should retrieve automatic tag suggestion notes."
