query,relevant_topics,description
"как найти похожие идеи если я не помню точные слова","semantic_search","Семантический запрос про поиск по смыслу."
"какой простой метод поиска был baseline для сравнения","keyword_search","Переформулировка про базовый keyword-поиск."
"как автоматически разложить заметки по меткам","tagging","Должен находить заметки про автоматическое тегирование."
"где хранить данные заметок и их векторы","databases","Должен находить заметки про SQLite, схему и метаданные."
"как доказать что один поиск лучше другого","research_methods","Должен находить методологию и метрики оценки."
"как каждую неделю возвращаться к задачам и старым мыслям","productivity","Должен находить productivity workflow и еженедельный обзор."
"как сделать код прототипа понятным и без лишней сложности","software_architecture","Должен находить архитектуру и модули."
"как быстро понять содержание заметки в результатах поиска","summarization","Должен находить суммаризацию и preview."
"смысловая память для разрозненных личных знаний","semantic_search","Сложный смысловой запрос."
"как сделать эксперимент воспроизводимым с ручной оценкой","research_methods","Должен находить разметку релевантности."
"связать забытые исследовательские идеи в коллекции заметок","semantic_search","Должен находить semantic search."
"не хочу строить большой backend для маленького demo","software_architecture","Должен находить простую архитектуру."
"короткое описание перед открытием полной заметки","summarization","Должен находить preview и summary."
"сохранить поля заметок чтобы потом повторить эксперименты","databases","Должен находить хранение и метаданные."
"метки появляются без ручного ввода","tagging","Должен находить автоматические теги."
